Frequency - Fase	Phase - Fase	
11591,861697	-169,712	
11707,72871	190,255	
11824,883752	190,612	
11943,160598	-169,483	
12062,554091	-169,307	
12183,076265	190,984	
12305,073055	190,851	
12428,021645	191,052	
12552,247049	-168,698	
12677,799411	-168,592	
12804,637398	-168,748	
12932,606808	191,77	
13062,059701	191,557	
13192,62826	191,505	
13324,514623	-167,952	
13457,876708	-168,101	
13592,349566	-168,267	
13728,33117	-167,537	
13865,608232	-167,73	
14004,189187	192,231	
14144,269684	192,748	
14285,640182	192,597	
14428,505256	192,722	
14572,857377	192,898	
14718,51654	193,293	
14865,857931	193,055	
15014,490199	193,441	
15164,632857	193,804	
15316,253423	193,665	
15469,345916	193,577	
15624,139239	193,883	
15780,228475	193,971	
15938,184916	193,921	
16097,446519	194,242	
16258,556477	194,587	
16420,989954	194,688	
16585,275332	-165,302	
16751,047726	-165,007	
16918,69335	-165,105	
17087,822348	-164,913	
17258,624615	-164,69	
17431,292983	195,882	
17605,634018	195,563	
17781,650393	195,822	
17959,543523	-164,227	
18139,107765	-163,932	
18320,527749	-163,843	
18503,630823	196,357	
18688,754206	196,877	
18875,603312	-163,149	
19064,245135	-162,892	
19255,013238	196,9	
19447,618515	197,447	
19642,076505	-162,808	
19838,407135	-162,253	
20036,764298	197,848	
20036,787823	197,7	
20036,780831	197,722	
20036,784571	197,444	
20036,77874	197,996	
20036,775224	197,95	
20036,777415	198,192	
20036,768367	198,09	
